	Target node	HUGO names	Interaction type	Source	Description	Reference: PMID	Logical rule
0	Acidosis	input	input	0/1	Input of the model		(Acidosis)
1	AKT	AKT1, AKT2, AKT3	+	HSPs	Hsp90 plays an important role in maintaining Akt kinase activity by binding Akt and preventing PP2A-mediated dephosphorylation	10995457	((HSPs | (PDK1 & PIP3) | PIP3 | (SHH & PIP3)) & !PTCH1)
2	AKT	AKT1, AKT2, AKT3	+	PDK1	From Fumia et al, 2013	23922675	((HSPs | (PDK1 & PIP3) | PIP3 | (SHH & PIP3)) & !PTCH1)
3	AKT	AKT1, AKT2, AKT3	+	PIP3	From Fumia et al, 2013	23922675	((HSPs | (PDK1 & PIP3) | PIP3 | (SHH & PIP3)) & !PTCH1)
4	AKT	AKT1, AKT2, AKT3	-	PTCH1	Most importantly, we report that shh induces mapk/erk and phosphoinositide 3-kinase (pi3k)-dependent akt phosphorylation and that activation of both signaling pathways is essential for shh's signaling in muscle cells. However, the effect of shh on akt phosphorylation is more robust than that on mapk/erk, and data suggest that shh influences these pathways in a manner similar to igf-i.	17688959	((HSPs | (PDK1 & PIP3) | PIP3 | (SHH & PIP3)) & !PTCH1)
5	AKT	AKT1, AKT2, AKT3	+	SHH	Most importantly, we report that shh induces mapk/erk and phosphoinositide 3-kinase (pi3k)-dependent akt phosphorylation and that activation of both signaling pathways is essential for shh's signaling in muscle cells. However, the effect of shh on akt phosphorylation is more robust than that on mapk/erk, and data suggest that shh influences these pathways in a manner similar to igf-i.	17688959	((HSPs | (PDK1 & PIP3) | PIP3 | (SHH & PIP3)) & !PTCH1)
6	AMP_ATP	ADCY1	-	Nutrients	From Fumia et al, 2013	23922675	(!Nutrients)
7	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	+	AMP_ATP	From Fumia et al, 2013	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
8	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	+	ATM	From Fumia et al, 2013 as ATM_ATR	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
9	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	+	ATR	From Fumia et al, 2013 as ATM_ATR	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
10	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	-	EGFR	From Fumia et al, 2013 as GF	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
11	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	-	FGFR3	From Fumia et al, 2013 as GF	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
12	AMPK	PRKAA1, PRKAA2, PRKAB1, PRKAB2, PRKAG1, PRKAG2, PRKAG3	+	HIF1	From Fumia et al, 2013	23922675	(ATR | HIF1 | AMP_ATP | ATM) & !FGFR3
13	Androgen	input	input	0/1	Input of the model		(Androgen)
14	APAF1	APAF1	-	AKT	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
15	APAF1	APAF1	+	Bak	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
16	APAF1	APAF1	+	BAX	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
17	APAF1	APAF1	-	Bcl_XL	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
18	APAF1	APAF1	-	BCL2	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
19	APAF1	APAF1	+	Caspase8	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
20	APAF1	APAF1	-	HSPs	The present studies demonstrate that heat shock protein 90 (hsp90) forms a cytosolic complex with apaf-1 and thereby inhibits the formation of the active complex.	10944114	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
21	APAF1	APAF1	+	p53	From Fumia et al, 2013	23922675	((Caspase8 | BAX | p53 | Bak | HSPs) & !Bcl_XL & !BCL2 & !AKT)
22	Apoptosis	output	+	Caspase3	Caspase-3 is responsible for apoptosis execution	14585074	(Caspase9 | Caspase8 | Caspase3)
23	Apoptosis	output	+	Caspase8	From Fumia et al, 2013	23922675	(Caspase9 | Caspase8 | Caspase3)
24	Apoptosis	output	+	Caspase9	From Fumia et al, 2013	23922675	(Caspase9 | Caspase8 | Caspase3)
25	AR	AR	+	Androgen	AR activated by binding either of the androgenic hormones, Testosterone, Or dihydrotestosterone in the cytoplasm and then translocating into the nucleus.	27057074	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
26	AR	AR	+	EP300	SRC/p160 coactivators are also able to recruit other coactivators that contain histone acetyl-transferase activity such as Tip60, CBP/p300 (EP300), and p/CAF, which are involved in the acetylation of specific histone residues resulting in chromatin remodeling. 	21956922	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
27	AR	AR	+	EZH2	transcriptional coactivator of AR	23239736	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
28	AR	AR	+	GLI	Gli2 protein can bind to AR and this interaction might define the point of cross-talk between the two signaling pathways.	20420697	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
29	AR	AR	+	HSPs	In an unbound state, The AR complexes with heat-shock, Chaperone and co-chaperone proteins such as HSP90, Which helps to maintain the apo state of the AR in a state competent to bind ligand. The innate stress response induced by castration induces activity of heat-shock proteins (HSP70, HSP90, HSP27) and helps insulate the AR axis from degradation. Overexpression of HSP27 in vivo suppresses apoptosis and is sufficient to confer castrate resistance.	21956922, 2589661	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
30	AR	AR	-	MDM2	These results suggest that phosphorylation-dependent AR ubiquitylation and degradation by Akt require the involvement of Mdm2 E3 ligase activity	12145204	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
31	AR	AR	+	NCOA3	SRC3 (NCOA3) is a preferred coactivator for hormone-activated AR. 	20086010	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
32	AR	AR	-	NCOR1	Unlike coactivators, AR corepressor proteins can form complexes with AR and inhibit the transcription of AR-regulated genes. Any alterations in the expression of these corepressor proteins can also play an important role in the development of AIPC. Two well-characterized AR corepressors are NCoR (nuclear receptor corepressor) and its homolog SMRT (silencing mediator for retinoid and thyroid hormone receptors). Both of these corepressors can recruit histone deacetylases, which promote chromatin packing, resulting in reduced transcriptional activity.	21956922	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
33	AR	AR	-	NCOR2	Unlike coactivators, AR corepressor proteins can form complexes with AR and inhibit the transcription of AR-regulated genes. Any alterations in the expression of these corepressor proteins can also play an important role in the development of AIPC. Two well-characterized AR corepressors are NCoR (nuclear receptor corepressor) and its homolog SMRT (silencing mediator for retinoid and thyroid hormone receptors). Both of these corepressors can recruit histone deacetylases, which promote chromatin packing, resulting in reduced transcriptional activity.	21956922	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
34	AR	AR	+	NKX3_1	NKX3-1 and AR directly regulate each other in a feed-forward regulatory loop.	22083957	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
35	AR	AR	+	PKC	Epidermal growth factor (EGF) increases AR transcriptional activity through PKC-dependent phosphorylation of AR at low levels of androgen in the CWR-R1 prostate cancer cell line derived from the castration-recurrent CWR22 prostate cancer xenograft.	18511414	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
36	AR	AR	-	PTEN	The  interaction  between  PTEN  and  AR  inhibits the AR nuclear translocation and promotes the AR protein degradation.	15205473	((GLI | EP300 | HSPs | NKX3_1 | EZH2 | NCOA3 | PKC | SMAD | Androgen) & !PTEN & !NCOR1 & !NCOR2 & !MDM2)
