node	pathway
Acidosis	Input
AKT	AKT pathw
AMP_ATP	Nutrients pathw
AMPK	Nutrients pathw
Androgen	Input
APAF1	Apop pathw
Apoptosis	Output
AR	AR pathw
AR_ERG	AR pathw
ATM	DNA repair pathw
ATR	DNA repair pathw
AXIN1	WNT pathw
BAD	Apop pathw
Bak	Apop pathw
BAX	Apop pathw
Bcl_XL	Apop pathw
BCL2	Apop pathw
beta_catenin	WNT pathw
BIRC5	Apop pathw
BMP2	SHH pathw
BRCA1	DNA repair pathw
BRCA2	DNA repair pathw
Carcinogen	Input
Caspase3	Apop pathw
Caspase8	Apop pathw
Caspase9	Apop pathw
CDH2	Invasion pathw
cFLAR	Apop pathw
CHK1_2	DNA repair pathw
COX4I2	Nutrients pathw
CyclinB	Cell cycle
CyclinD	Cell cycle
CytoC	Apop pathw
DAXX	DNA repair pathw
DNA_Damage	DNA repair pathw
DNA_Repair	Output
Dsh	WNT pathw
E_cadherin	Invasion pathw
E2F1	Cell cycle
eEF2	AKT pathw
eEF2K	AKT pathw
EGF	Input
EGFR	ERK pathw
EMT	Invasion pathw
EP300	DNA repair pathw
ERG	AR pathw
ERK	ERK pathw
ETS1	ERK pathw
ETV1	ERK pathw
EZH2	Invasion pathw
FADD	Apop pathw
FGF	Input
FGFR3	ERK pathw
FOS	ERK pathw
FOXA1	ERK pathw
FOXO	ERK pathw
FRS2	ERK pathw
fused_event	Input
GADD45	TGFb pathw
GLI	SHH pathw
GLUT1	Nutrients pathw
GSH	Nutrients pathw
GSK3	WNT pathw
HIF1	Nutrients pathw
HSPs	Nutrients pathw
Hypoxia	Input
IDH1	Nutrients pathw
IKK	AKT pathw
Invasion	Output
JNK	ERK pathw
JUN	ERK pathw
Lactic_acid	Nutrients pathw
LDHA	Nutrients pathw
MAP3K1_3	ERK pathw
MDM2	DNA repair pathw
MED12	SHH pathw
MEK1_2	ERK pathw
Metastasis	Output
Migration	Output
mTORC1	mTOR pathw
mTORC2	mTOR pathw
MXI1	Nutrients pathw
MYC	ERK pathw
MYC_MAX	ERK pathw
NCOA3	AR pathw
NCOR1	AR pathw
NCOR2	AR pathw
NF_kB	AKT pathw
NF1	Nutrients pathw
NKX3_1	AR pathw
Nutrients	Input
p14ARF	DNA repair pathw
p15	Cell cycle
p21	Cell cycle
p38	ERK pathw
p53	DNA repair pathw
p70S6kab	AKT pathw
p90RSK	AKT pathw
PDK1	AKT pathw
PHDs	Nutrients pathw
PI3K	AKT pathw
PIP3	AKT pathw
PKC	WNT pathw
Proliferation	Output
PTCH1	SHH pathw
PTEN	AKT pathw
RAF	ERK pathw
RAGS	mTOR pathw
RAS	ERK pathw
RB1	Cell cycle
Rheb	mTOR pathw
ROS	Nutrients pathw
RTK	ERK pathw
RUNX2	ERK pathw
SHH	SHH pathw
Slug	Invasion pathw
SMAD	TGFb pathw
SMO	SHH pathw
Snail	Invasion pathw
SPOP	Input
TAK1	ERK pathw
TCF	WNT pathw
TERT	Nutrients pathw
TGFb	Input
TGFBR	TGFb pathw
TNFalpha	Input
TSC1_2	mTOR pathw
TWIST1	Invasion pathw
VEGF	Nutrients pathw
VHL	Nutrients pathw
WNT	WNT pathw
YWHAZ	Invasion pathw
ZBTB17	Cell cycle
